,source,text,created_at,retweet_count,favorite_count,is_retweet,id_str,at_who,words,tweet_len,tweet_no_words,capital_words,has_endors
1372,Twitter for iPhone, Deven Nunes predicts that more examples of Mueller team misconduct will be revealed in coming weeks ,2020-02-13 13:00:17,22902.0,86886,false,1.2279405560573174e+18,"['@seanhannity', '@FoxNews']","['Deven', 'Nunes', 'predicts', 'that', 'more', 'examples', 'of', 'Mueller', 'team', 'misconduct', 'will', 'be', 'revealed', 'in', 'coming', 'weeks']",101,16,,0
1388,Twitter for iPhone,Congratulations to Attorney General Bill Barr for taking charge of a case that was totally out of control and perhaps should not have even been brought Evidence now clearly shows that the Mueller Scam was improperly brought amp tainted Even Bob Mueller lied to Congress ,2020-02-12 11:53:00,35641.0,133204,false,1.2275612377828557e+18,[],"['Congratulations', 'to', 'Attorney', 'General', 'Bill', 'Barr', 'for', 'taking', 'charge', 'of', 'a', 'case', 'that', 'was', 'totally', 'out', 'of', 'control', 'and', 'perhaps', 'should', 'not', 'have', 'even', 'been', 'brought', 'Evidence', 'now', 'clearly', 'shows', 'that', 'the', 'Mueller', 'Scam', 'was', 'improperly', 'brought', 'amp', 'tainted', 'Even', 'Bob', 'Mueller', 'lied', 'to', 'Congress']",270,45,,0
1396,Twitter for iPhone,Who are the four prosecutors Mueller people who cut and ran after being exposed for recommending a ridiculous year prison sentence to a man that got caught up in an investigation that was illegal the Mueller Scam and shouldnt ever even have started Angry Democrats ,2020-02-12 02:45:15,29283.0,111641,false,1.2274233920784097e+18,[],"['Who', 'are', 'the', 'four', 'prosecutors', 'Mueller', 'people', 'who', 'cut', 'and', 'ran', 'after', 'being', 'exposed', 'for', 'recommending', 'a', 'ridiculous', 'year', 'prison', 'sentence', 'to', 'a', 'man', 'that', 'got', 'caught', 'up', 'in', 'an', 'investigation', 'that', 'was', 'illegal', 'the', 'Mueller', 'Scam', 'and', 'shouldnt', 'ever', 'even', 'have', 'started', 'Angry', 'Democrats']",265,45,,0
1400,Twitter for iPhone, And a swamp creature with pull was just sentenced to two months in jail for a similar thing that they want Stone to serve years for A phony Mueller Witch Hunt disgrace Caught ,2020-02-12 01:59:37,17563.0,55432,false,1.2274119074784215e+18,[],"['And', 'a', 'swamp', 'creature', 'with', 'pull', 'was', 'just', 'sentenced', 'to', 'two', 'months', 'in', 'jail', 'for', 'a', 'similar', 'thing', 'that', 'they', 'want', 'Stone', 'to', 'serve', 'years', 'for', 'A', 'phony', 'Mueller', 'Witch', 'Hunt', 'disgrace', 'Caught']",176,33,A,0
1427,Twitter for iPhone,FBI Director Christopher Wray just admitted that the FISA Warrants and Survailence of my campaign were illegal So was the Fake Dossier THEREFORE THE WHOLE SCAM INVESTIGATION THE MUELLER REPORT AND EVERYTHING ELSE FOR THREE YEARS WAS A FIXED HOAX WHO PAYS THE PRICE ,2020-02-09 19:52:32,57028.0,190369,false,1.226594751132115e+18,[],"['FBI', 'Director', 'Christopher', 'Wray', 'just', 'admitted', 'that', 'the', 'FISA', 'Warrants', 'and', 'Survailence', 'of', 'my', 'campaign', 'were', 'illegal', 'So', 'was', 'the', 'Fake', 'Dossier', 'THEREFORE', 'THE', 'WHOLE', 'SCAM', 'INVESTIGATION', 'THE', 'MUELLER', 'REPORT', 'AND', 'EVERYTHING', 'ELSE', 'FOR', 'THREE', 'YEARS', 'WAS', 'A', 'FIXED', 'HOAX', 'WHO', 'PAYS', 'THE', 'PRICE']",265,44,FBI,0
2029,Twitter for iPhone, The Dems are complicating matters again Keeping Mueller out of it was the focus Keeping it crisp amp simple was the key and now all of a sudden they are saying maybe well go back and visit the Mueller probe which is absolutely unbelievable and shows they dont care about ,2019-12-24 13:15:57,17512.0,70945,false,1.2094627188996383e+18,[],"['The', 'Dems', 'are', 'complicating', 'matters', 'again', 'Keeping', 'Mueller', 'out', 'of', 'it', 'was', 'the', 'focus', 'Keeping', 'it', 'crisp', 'amp', 'simple', 'was', 'the', 'key', 'and', 'now', 'all', 'of', 'a', 'sudden', 'they', 'are', 'saying', 'maybe', 'well', 'go', 'back', 'and', 'visit', 'the', 'Mueller', 'probe', 'which', 'is', 'absolutely', 'unbelievable', 'and', 'shows', 'they', 'dont', 'care', 'about']",272,50,,0
2296,Twitter for iPhone, The Democrats havent come up with a smocking gun Nancy Pelosi by raising this to the level of Impeachment has raised the bar impossibly high This comes after three years of nonstop investigations of Trump the Russian collusion narrative the Mueller Report amp now the ,2019-12-08 21:08:20,13598.0,51709,false,1.2037833938524938e+18,[],"['The', 'Democrats', 'havent', 'come', 'up', 'with', 'a', 'smocking', 'gun', 'Nancy', 'Pelosi', 'by', 'raising', 'this', 'to', 'the', 'level', 'of', 'Impeachment', 'has', 'raised', 'the', 'bar', 'impossibly', 'high', 'This', 'comes', 'after', 'three', 'years', 'of', 'nonstop', 'investigations', 'of', 'Trump', 'the', 'Russian', 'collusion', 'narrative', 'the', 'Mueller', 'Report', 'amp', 'now', 'the']",269,45,,0
2348,Twitter for iPhone,The Do Nothing Radical Left Democrats have just announced that they are going to seek to Impeach me over NOTHING They already gave up on the ridiculous Mueller stuff so now they hang their hats on two totally appropriate perfect phone calls with the Ukrainian President ,2019-12-05 15:11:56,21271.0,82211,false,1.202606535995732e+18,[],"['The', 'Do', 'Nothing', 'Radical', 'Left', 'Democrats', 'have', 'just', 'announced', 'that', 'they', 'are', 'going', 'to', 'seek', 'to', 'Impeach', 'me', 'over', 'NOTHING', 'They', 'already', 'gave', 'up', 'on', 'the', 'ridiculous', 'Mueller', 'stuff', 'so', 'now', 'they', 'hang', 'their', 'hats', 'on', 'two', 'totally', 'appropriate', 'perfect', 'phone', 'calls', 'with', 'the', 'Ukrainian', 'President']",270,46,NOTHING,0
2375,Twitter for iPhone,When Lisa Page the lover of Peter Strzok talks about being crushed and how innocent she is ask her to read Peters Insurance Policy text to her just in case Hillary loses Also why were the lovers text messages scrubbed after he left Mueller Where are they Lisa ,2019-12-02 18:07:44,29935.0,106434,false,1.2015636171807334e+18,[],"['When', 'Lisa', 'Page', 'the', 'lover', 'of', 'Peter', 'Strzok', 'talks', 'about', 'being', 'crushed', 'and', 'how', 'innocent', 'she', 'is', 'ask', 'her', 'to', 'read', 'Peters', 'Insurance', 'Policy', 'text', 'to', 'her', 'just', 'in', 'case', 'Hillary', 'loses', 'Also', 'why', 'were', 'the', 'lovers', 'text', 'messages', 'scrubbed', 'after', 'he', 'left', 'Mueller', 'Where', 'are', 'they', 'Lisa']",260,48,,0
2500,Twitter for iPhone,Bob Mueller after spending two years and million dollars went over all of my financials amp my taxes and found nothing Now the Witch Hunt continues with local New York Democrat prosecutors going over every financial deal I have ever done This has never happened to a ,2019-11-21 12:58:57,17933.0,68101,false,1.19749964224367e+18,[],"['Bob', 'Mueller', 'after', 'spending', 'two', 'years', 'and', 'million', 'dollars', 'went', 'over', 'all', 'of', 'my', 'financials', 'amp', 'my', 'taxes', 'and', 'found', 'nothing', 'Now', 'the', 'Witch', 'Hunt', 'continues', 'with', 'local', 'New', 'York', 'Democrat', 'prosecutors', 'going', 'over', 'every', 'financial', 'deal', 'I', 'have', 'ever', 'done', 'This', 'has', 'never', 'happened', 'to', 'a']",267,47,I,0
2620,Twitter for iPhone,So they now convict Roger Stone of lying and want to jail him for many years to come Well what about Crooked Hillary Comey Strzok Page McCabe Brennan Clapper Shifty Schiff Ohr amp Nellie Steele amp all of the others including even Mueller himself Didnt they lie ,2019-11-15 17:13:56,47234.0,154339,false,1.1953894836649902e+18,[],"['So', 'they', 'now', 'convict', 'Roger', 'Stone', 'of', 'lying', 'and', 'want', 'to', 'jail', 'him', 'for', 'many', 'years', 'to', 'come', 'Well', 'what', 'about', 'Crooked', 'Hillary', 'Comey', 'Strzok', 'Page', 'McCabe', 'Brennan', 'Clapper', 'Shifty', 'Schiff', 'Ohr', 'amp', 'Nellie', 'Steele', 'amp', 'all', 'of', 'the', 'others', 'including', 'even', 'Mueller', 'himself', 'Didnt', 'they', 'lie']",262,47,,0
3162,Twitter for iPhone,RT THE LIST Ways the Mueller Witchhunt and Lying Schiffs Sham Impeachment Are Identical Corrupt and Unconstitutional ,2019-10-28 20:47:35,8408.0,0,false,1.188920268967727e+18,['@scottadamsshow:'],"['RT', 'THE', 'LIST', 'Ways', 'the', 'Mueller', 'Witchhunt', 'and', 'Lying', 'Schiffs', 'Sham', 'Impeachment', 'Are', 'Identical', 'Corrupt', 'and', 'Unconstitutional']",117,17,RT,0
3603,Twitter for iPhone,RT Did Mueller lie to Congress about meeting with Trump before he took the special counsel job Fox News GreggJarrett ht ,2019-10-13 04:31:50,13064.0,0,false,1.1832388936274657e+18,['@DevinNunes:'],"['RT', 'Did', 'Mueller', 'lie', 'to', 'Congress', 'about', 'meeting', 'with', 'Trump', 'before', 'he', 'took', 'the', 'special', 'counsel', 'job', 'Fox', 'News', 'GreggJarrett', 'ht']",120,21,RT,0
3753,Twitter for iPhone, Bob Mueller was pursuing the FBI Director job when he met with President Trump in Administration officials say Bret Baier and Jake Gibson This is true even though Mueller denied it ,2019-10-09 02:15:19,13194.0,48449,false,1.181754987141124e+18,"['@FoxNews', '@seanhannity']","['Bob', 'Mueller', 'was', 'pursuing', 'the', 'FBI', 'Director', 'job', 'when', 'he', 'met', 'with', 'President', 'Trump', 'in', 'Administration', 'officials', 'say', 'Bret', 'Baier', 'and', 'Jake', 'Gibson', 'This', 'is', 'true', 'even', 'though', 'Mueller', 'denied', 'it']",182,31,FBI,0
3802,Twitter for iPhone,RT Impeachment insanity The Kavanaugh hit FBI DOJ abuse of power The Mueller mess Leaks Media malpractice In just da ,2019-10-08 04:01:46,6477.0,0,false,1.1814193887396864e+18,['@KimStrassel:'],"['RT', 'Impeachment', 'insanity', 'The', 'Kavanaugh', 'hit', 'FBI', 'DOJ', 'abuse', 'of', 'power', 'The', 'Mueller', 'mess', 'Leaks', 'Media', 'malpractice', 'In', 'just', 'da']",117,20,RT,0
4456,Twitter for iPhone,They failed on the Mueller Report they failed on Robert Muellers testimony they failed on everything else so now the Democrats are trying to build a case that I enrich myself by being President Good idea except I will and have always expected to lose BILLIONS of DOLLARS ,2019-09-16 14:01:14,20632.0,87083,false,1.1735977138600468e+18,[],"['They', 'failed', 'on', 'the', 'Mueller', 'Report', 'they', 'failed', 'on', 'Robert', 'Muellers', 'testimony', 'they', 'failed', 'on', 'everything', 'else', 'so', 'now', 'the', 'Democrats', 'are', 'trying', 'to', 'build', 'a', 'case', 'that', 'I', 'enrich', 'myself', 'by', 'being', 'President', 'Good', 'idea', 'except', 'I', 'will', 'and', 'have', 'always', 'expected', 'to', 'lose', 'BILLIONS', 'of', 'DOLLARS']",271,48,I,0
4468,Twitter for iPhone,House Judiciary has given up on the Mueller Report sadly for them after two years and spent ZERO COLLUSION ZERO OBSTRUCTION So they say OK lets look at everything else and all of the deals that Trump has done over his lifetime But it doesnt ,2019-09-16 11:03:18,16997.0,72188,false,1.17355293754257e+18,[],"['House', 'Judiciary', 'has', 'given', 'up', 'on', 'the', 'Mueller', 'Report', 'sadly', 'for', 'them', 'after', 'two', 'years', 'and', 'spent', 'ZERO', 'COLLUSION', 'ZERO', 'OBSTRUCTION', 'So', 'they', 'say', 'OK', 'lets', 'look', 'at', 'everything', 'else', 'and', 'all', 'of', 'the', 'deals', 'that', 'Trump', 'has', 'done', 'over', 'his', 'lifetime', 'But', 'it', 'doesnt']",241,45,ZERO,0
4520,Twitter for iPhone, Became Number in World amp Independent in Energy Will soon have record number of Judges SC Justices Done more than any President in first years despite phony amp fraudulent Witch Hunt illegally led against him WIN on Mueller Report Mueller Testimony amp James Comey ,2019-09-13 12:58:02,13781.0,64933,false,1.1724946492961137e+18,[],"['Became', 'Number', 'in', 'World', 'amp', 'Independent', 'in', 'Energy', 'Will', 'soon', 'have', 'record', 'number', 'of', 'Judges', 'SC', 'Justices', 'Done', 'more', 'than', 'any', 'President', 'in', 'first', 'years', 'despite', 'phony', 'amp', 'fraudulent', 'Witch', 'Hunt', 'illegally', 'led', 'against', 'him', 'WIN', 'on', 'Mueller', 'Report', 'Mueller', 'Testimony', 'amp', 'James', 'Comey']",267,44,SC,0
4530,Twitter for iPhone, This should have been over with after the Mueller Report came out ,2019-09-12 14:15:19,10568.0,47522,false,1.1721517067019592e+18,"['@guypbenson', '@FoxNews']","['This', 'should', 'have', 'been', 'over', 'with', 'after', 'the', 'Mueller', 'Report', 'came', 'out']",67,12,,0
4775,Twitter for iPhone,Based on the IG Report the whole Witch Hunt against me and my administration was a giant and illegal SCAM The House of Representatives should now get back to work on drug prices healthcare infrastructure and all else The Mueller Report showed No Collusion No Obstruction ,2019-09-03 14:28:41,17886.0,67327,false,1.1688935832834253e+18,[],"['Based', 'on', 'the', 'IG', 'Report', 'the', 'whole', 'Witch', 'Hunt', 'against', 'me', 'and', 'my', 'administration', 'was', 'a', 'giant', 'and', 'illegal', 'SCAM', 'The', 'House', 'of', 'Representatives', 'should', 'now', 'get', 'back', 'to', 'work', 'on', 'drug', 'prices', 'healthcare', 'infrastructure', 'and', 'all', 'else', 'The', 'Mueller', 'Report', 'showed', 'No', 'Collusion', 'No', 'Obstruction']",271,46,IG,0
5223,Twitter for iPhone,The Failing New York Times in one of the most devastating portrayals of bad journalism in history got caught by a leaker that they are shifting from their Phony Russian Collusion Narrative the Mueller Report amp his testimony were a total disaster to a Racism Witch Hunt ,2019-08-18 12:22:55,27562.0,113734,false,1.1630637239526769e+18,[],"['The', 'Failing', 'New', 'York', 'Times', 'in', 'one', 'of', 'the', 'most', 'devastating', 'portrayals', 'of', 'bad', 'journalism', 'in', 'history', 'got', 'caught', 'by', 'a', 'leaker', 'that', 'they', 'are', 'shifting', 'from', 'their', 'Phony', 'Russian', 'Collusion', 'Narrative', 'the', 'Mueller', 'Report', 'amp', 'his', 'testimony', 'were', 'a', 'total', 'disaster', 'to', 'a', 'Racism', 'Witch', 'Hunt']",271,47,,0
5376,Twitter for iPhone,RT Jim Jordan Why didnt you charge Joseph Mifsud for lying to the FBI Robert Mueller I cant get into itThis video i ,2019-08-13 11:57:57,10665.0,0,false,1.161245504052826e+18,['@ARmastrangelo:'],"['RT', 'Jim', 'Jordan', 'Why', 'didnt', 'you', 'charge', 'Joseph', 'Mifsud', 'for', 'lying', 'to', 'the', 'FBI', 'Robert', 'Mueller', 'I', 'cant', 'get', 'into', 'itThis', 'video', 'i']",116,23,RT,0
5633,Twitter for iPhone, Robert Muellers testimony and the Mueller Report itself was a disaster for this illegal Democrat inspired Witch Hunt It is an embarrassment to the USA that they dont know how to stop They cant help themselves they are totally lost they are Clowns ,2019-07-28 03:28:38,17108.0,86926,false,1.155319124127572e+18,[],"['Robert', 'Muellers', 'testimony', 'and', 'the', 'Mueller', 'Report', 'itself', 'was', 'a', 'disaster', 'for', 'this', 'illegal', 'Democrat', 'inspired', 'Witch', 'Hunt', 'It', 'is', 'an', 'embarrassment', 'to', 'the', 'USA', 'that', 'they', 'dont', 'know', 'how', 'to', 'stop', 'They', 'cant', 'help', 'themselves', 'they', 'are', 'totally', 'lost', 'they', 'are', 'Clowns']",248,43,USA,0
5642,Twitter for iPhone,We gave Nadler and his Trump hating Dems the complete Mueller Report we didnt have to and even Mueller himself but now that both were a total BUST they say it wasnt good enough Nothing will ever be good enough for them Witch Hunt ,2019-07-27 21:55:39,24733.0,107747,false,1.1552353239385088e+18,[],"['We', 'gave', 'Nadler', 'and', 'his', 'Trump', 'hating', 'Dems', 'the', 'complete', 'Mueller', 'Report', 'we', 'didnt', 'have', 'to', 'and', 'even', 'Mueller', 'himself', 'but', 'now', 'that', 'both', 'were', 'a', 'total', 'BUST', 'they', 'say', 'it', 'wasnt', 'good', 'enough', 'Nothing', 'will', 'ever', 'be', 'good', 'enough', 'for', 'them', 'Witch', 'Hunt']",230,44,BUST,0
5646,Twitter for iPhone,The Dems are now coming out of shock from the terrible Mueller performance and are starting to spin impeachment all over again How sick amp disgusting and bad for our Country are they What they are doing is so wrong but they do it anyway Dems have become the do nothing Party ,2019-07-27 20:24:33,22835.0,99180,false,1.1552123973821768e+18,[],"['The', 'Dems', 'are', 'now', 'coming', 'out', 'of', 'shock', 'from', 'the', 'terrible', 'Mueller', 'performance', 'and', 'are', 'starting', 'to', 'spin', 'impeachment', 'all', 'over', 'again', 'How', 'sick', 'amp', 'disgusting', 'and', 'bad', 'for', 'our', 'Country', 'are', 'they', 'What', 'they', 'are', 'doing', 'is', 'so', 'wrong', 'but', 'they', 'do', 'it', 'anyway', 'Dems', 'have', 'become', 'the', 'do', 'nothing', 'Party']",276,52,,0
5647,Twitter for iPhone,The Democrats were trying mightily to revive the badly amp irrevocably tarnished Witch Hunt Hoax until Robert Mueller put on the greatest display of ineptitude amp incompetence that the Halls of Congress have ever seen Truth is he had no facts on his side Nothing he could do ,2019-07-27 20:15:07,18768.0,80079,false,1.155210027025797e+18,[],"['The', 'Democrats', 'were', 'trying', 'mightily', 'to', 'revive', 'the', 'badly', 'amp', 'irrevocably', 'tarnished', 'Witch', 'Hunt', 'Hoax', 'until', 'Robert', 'Mueller', 'put', 'on', 'the', 'greatest', 'display', 'of', 'ineptitude', 'amp', 'incompetence', 'that', 'the', 'Halls', 'of', 'Congress', 'have', 'ever', 'seen', 'Truth', 'is', 'he', 'had', 'no', 'facts', 'on', 'his', 'side', 'Nothing', 'he', 'could', 'do']",276,48,,0
5668,Twitter for iPhone, Intelligence Community disappointed Mueller didnt investigate the Steele Dossier And plenty of other things ,2019-07-26 10:36:22,15163.0,64539,false,1.1547019922809078e+18,"['@TuckerCarlson', '@FoxNews']","['Intelligence', 'Community', 'disappointed', 'Mueller', 'didnt', 'investigate', 'the', 'Steele', 'Dossier', 'And', 'plenty', 'of', 'other', 'things']",109,14,,0
5683,Twitter for iPhone, impeachment you have a Party of one Its over Nancy said Jerry please sit down Very bad idea We discovered that after putting so much time amp energy into the Mueller Report it turns out Mueller didnt know what was in his Report ,2019-07-25 11:06:13,17266.0,91673,false,1.154347115063251e+18,"['@kilmeade', '@SteveDoocy', '@foxandfriends']","['impeachment', 'you', 'have', 'a', 'Party', 'of', 'one', 'Its', 'over', 'Nancy', 'said', 'Jerry', 'please', 'sit', 'down', 'Very', 'bad', 'idea', 'We', 'discovered', 'that', 'after', 'putting', 'so', 'much', 'time', 'amp', 'energy', 'into', 'the', 'Mueller', 'Report', 'it', 'turns', 'out', 'Mueller', 'didnt', 'know', 'what', 'was', 'in', 'his', 'Report']",229,43,,0
5684,Twitter for iPhone, Yesterday changed everything it really did clear the President He wins It changed everything in favor of the President who said all along this investigation is rooted in nothing Mueller was exposed as being best friends with Comey Today you say ,2019-07-25 11:06:12,20136.0,105489,false,1.154347111145599e+18,['@ainsleyearhardt'],"['Yesterday', 'changed', 'everything', 'it', 'really', 'did', 'clear', 'the', 'President', 'He', 'wins', 'It', 'changed', 'everything', 'in', 'favor', 'of', 'the', 'President', 'who', 'said', 'all', 'along', 'this', 'investigation', 'is', 'rooted', 'in', 'nothing', 'Mueller', 'was', 'exposed', 'as', 'being', 'best', 'friends', 'with', 'Comey', 'Today', 'you', 'say']",246,41,,0
5696,Twitter for iPhone, The Medias Mueller Meltdown ,2019-07-24 22:45:49,12780.0,43639,false,1.1541607883299676e+18,['@JesseBWatters'],"['The', 'Medias', 'Mueller', 'Meltdown']",29,4,,0
5701,Twitter for iPhone,Even Michael Moore agrees that the Dems and Mueller blew it ,2019-07-24 21:33:40,19232.0,75095,false,1.1541426304874947e+18,[],"['Even', 'Michael', 'Moore', 'agrees', 'that', 'the', 'Dems', 'and', 'Mueller', 'blew', 'it']",60,11,,0
5702,Twitter for iPhone, The kind of questions the White House Correspondents were asking is almost like they didnt see what went on at the hearings The hearings were a disaster for Robert Mueller amp the Democrats Nevertheless the Fake News Media will try to make the best out of it ,2019-07-24 21:29:01,14256.0,59750,false,1.154141457743319e+18,['@JesseBWatters'],"['The', 'kind', 'of', 'questions', 'the', 'White', 'House', 'Correspondents', 'were', 'asking', 'is', 'almost', 'like', 'they', 'didnt', 'see', 'what', 'went', 'on', 'at', 'the', 'hearings', 'The', 'hearings', 'were', 'a', 'disaster', 'for', 'Robert', 'Mueller', 'amp', 'the', 'Democrats', 'Nevertheless', 'the', 'Fake', 'News', 'Media', 'will', 'try', 'to', 'make', 'the', 'best', 'out', 'of', 'it']",260,47,,0
5706,Twitter for iPhone,RT Its not enough for Mr Mueller to be able to vouch for his team Federal recusal law exists for a reason The interest ,2019-07-24 18:23:39,14755.0,0,false,1.154094810275418e+18,['@RepArmstrongND:'],"['RT', 'Its', 'not', 'enough', 'for', 'Mr', 'Mueller', 'to', 'be', 'able', 'to', 'vouch', 'for', 'his', 'team', 'Federal', 'recusal', 'law', 'exists', 'for', 'a', 'reason', 'The', 'interest']",119,24,RT,0
5709,Twitter for iPhone,RT Gaetz Can you state with confidence the Steele dossier was not part of Russias disinformation campaign Mueller Wi ,2019-07-24 17:24:00,31314.0,0,false,1.154079798886568e+18,['@RepMattGaetz:'],"['RT', 'Gaetz', 'Can', 'you', 'state', 'with', 'confidence', 'the', 'Steele', 'dossier', 'was', 'not', 'part', 'of', 'Russias', 'disinformation', 'campaign', 'Mueller', 'Wi']",117,19,RT,0
5710,Twitter for iPhone,RT Why didnt Mueller charge Joseph Mifsud for lying to the FBI ,2019-07-24 17:17:56,31465.0,0,false,1.1540782720341688e+18,['@Jim_Jordan:'],"['RT', 'Why', 'didnt', 'Mueller', 'charge', 'Joseph', 'Mifsud', 'for', 'lying', 'to', 'the', 'FBI']",63,12,RT,0
